orig_address,orig_city,orig_state,orig_country,subpremise,street_number,route,locality,administrative_area_level_2,administrative_area_level_1,country,postal_code,lat,lng,partial_match
 90 S. Pond Street,Toccoa,GA,30577,"",90,South Pond Street,Toccoa,Stephens County,Georgia,United States,30577,34.5763951,-83.3284999,false
 470 Massachusetts Ave,Acton,MA,1720,"",470,Massachusetts Avenue,Acton,Middlesex County,Massachusetts,United States,01720,42.4753,-71.4615446,true
 6906 Highway 431 S,Albertville,AL,35950,"",6906,U.S. 431,Albertville,Marshall County,Alabama,United States,35950,34.2741507,-86.2001032,true
 401 N. 9th Street,Gadsden,AL,35901,"",401,North 9th Street,Gadsden,Etowah County,Alabama,United States,35901,34.0188672,-86.0113848,false
 1501 W Main St,Collinsville,OK,74021,"",1501,West Main Street,Collinsville,Tulsa County,Oklahoma,United States,74021,36.36424300000001,-95.843412,false
 404 Decatur Street,Cumberland,MD,21502,"",404,Decatur Street,Cumberland,Allegany County,Maryland,United States,21502,39.6557591,-78.7601292,false
 7000 Webster Road,Cowen,WV,26206,"",7000,Webster Road,Cowen,Webster County,West Virginia,United States,26206,38.4093509,-80.5557154,false
 307 Main Avenue Drive,Taylorsville,NC,28681,"",307,Main Avenue Drive,Township of Taylorsville,Alexander County,North Carolina,United States,28681,35.9210571,-81.17756949999999,false
 300 W. Main Street,Adams,MN,55909,"",300,West Main Street,Adams,Mower County,Minnesota,United States,55909,43.5653959,-92.71760739999999,false
 55 Boone Trail,North Wilkesboro,NC,28659,"",55,Boone Trail,North Wilkesboro,Wilkes County,North Carolina,United States,28659,36.1586344,-81.16386750000001,false
 35 Depot Street,Chester,VT,5143,"",35,Depot Street,Chester,Windsor County,Vermont,United States,05143,43.263226,-72.59431500000001,true
 12 Meadow Street,Ludlow,VT,5149,"",12,Meadow Street,Ludlow,Windsor County,Vermont,United States,05149,43.396069,-72.6931309,true
 721 Elden Street,Herndon, VA,20170,"",721,Elden Street,Herndon,Fairfax County,Virginia,United States,20170,38.9693597,-77.3850029,false
 502 Evans Street,Winchester,KY,40391,"",502,Evans Street,Winchester,Clark County,Kentucky,United States,40391,38.0007929,-84.1813954,false
 108 Court Street,Farmington,ME,4938,"",108,Court Street,Farmington,Franklin County,Maine,United States,04938,44.672152,-70.1495769,true
 5 N. 2nd Street,Pleasantville,NJ,8232,"",5,North 2nd Street,Pleasantville,Atlantic County,New Jersey,United States,08232,39.3932969,-74.524648,true
 1650 New,Northfield,NJ,8225,"",1650,New Road,Northfield,Atlantic County,New Jersey,United States,08225,39.37013,-74.55819199999999,true
 306 Mechanic St,Hopkinsville,KY,42240,"",306,Mechanic Street,Hopkinsville,Christian County,Kentucky,United States,42240,36.8648582,-87.4784679,false
 203 W. Broad St,Paulsboro,NJ,8066,"",203,West Broad Street,Paulsboro,Gloucester County,New Jersey,United States,08066,39.82997,-75.243707,true
 403 West Divide Avenue,Drayton,ND,58225,"",403,West Divide Avenue,Drayton,Pembina County,North Dakota,United States,58225,48.5568851,-97.1818433,false
 326 S Atlantic,Stephen,MN,56757,"",326,Atlantic Avenue,Stephen,Marshall County,Minnesota,United States,56757,48.4494552,-96.87268689999999,true
 2000 47th Avenue,Greeley,CO,80634,"",2000,47th Avenue,Greeley,Weld County,Colorado,United States,80634,40.406299,-104.75555,false
 108 NW Lincoln St,Sheridan,OR,97378,"",108,Northwest Lincoln Street,Sheridan,Yamhill County,Oregon,United States,97378,45.09952699999999,-123.398083,false
 2226 Lillington Hwy,Spring Lake,NC,28390,"",2226,Lillington Highway,Spring Lake,Cumberland County,North Carolina,United States,28390,35.2044843,-78.95099290000002,false
 515 S 8th St,Wilmington,NC,28401,"",515,South 8th Street,Wilmington,New Hanover County,North Carolina,United States,28401,34.229033,-77.938141,false
 33250 Ryan Road,Sterling Heights,MI,48310,"",33250,Ryan Road,Sterling Heights,Macomb County,Michigan,United States,48310,42.5372936,-83.06794500000001,false
 105 Maine Avenue,Adrian,MN,56110,"",105,Maine Avenue,Adrian,Nobles County,Minnesota,United States,56110,43.6350021,-95.9331515,true
 9155 W Van Buren Street,Tolleson,AZ,85353,"",9155,West Van Buren Street,Tolleson,Maricopa County,Arizona,United States,85353,33.450059,-112.256749,false
 11211 W Michigan Ave,Youngtown,AZ,85363,"",11211,West Michigan Avenue,Youngtown,Maricopa County,Arizona,United States,85363,33.6040176,-112.3012429,false
 500 Harbins Road,Lilburn,GA,30047,"",500,Harbins Road Northwest,Lilburn,Gwinnett County,Georgia,United States,30047,33.891463,-84.156303,true
 7211 Lee Highway,Falls Church,VA ,22046,"",7211,Lee Highway,Falls Church,Fairfax County,Virginia,United States,22046,38.878794,-77.181894,false
 50 Paradise Green Place,Stratford,CT,6614,"",50,Paradise Green Place,Stratford,Fairfield County,Connecticut,United States,06614,41.2090949,-73.1310883,true
 1525 North Buckner,Derby,KS,67037,"",1525,North Buckner Street,Derby,Sedgwick County,Kansas,United States,67037,37.564055,-97.2716839,true
 2164 NE East Devils Lake Rd,Lincoln City,OR,97367,"",2164,Northeast West Devils Lake Road,Lincoln City,Lincoln County,Oregon,United States,97367,44.98019530000001,-123.9964007,true
 915 NE Yaquina Heights Dr,Newport,OR,97365,"",915,Northeast Yaquina Heights Drive,Newport,Lincoln County,Oregon,United States,97365,44.63808760000001,-124.0416477,false
 1150 Kikowaena St,Honolulu,HI,96819,"",1150,Kikowaena Street,Honolulu,Honolulu County,Hawaii,United States,96819,21.344379,-157.893497,false
 112 Main Street,East Hampton,CT,6424,"",112,Main Street,East Hampton,Middlesex County,Connecticut,United States,06424,41.57210329999999,-72.5009889,true
 403 W Country Club Blvd.,Elk City,OK,73648,"",403,West Country Club Boulevard,Elk City,Beckham County,Oklahoma,United States,73644,35.421915,-99.4084718,true
 380 First Avenue East,Wendell,ID,83355,"",380,1st Avenue East,Wendell,Gooding County,Idaho,United States,83355,42.7764258,-114.6985211,true
 905 Samaria Road,Clanton,AL,35045,"",905,Samaria Road,Clanton,Chilton County,Alabama,United States,35045,32.8188683,-86.6235468,false
 1110 Baptist Hill,Greensboro,AL,36744,"",1110,Baptist Hill Road,Greensboro,Hale County,Alabama,United States,36744,32.7060524,-87.58932759999999,true
 101 Lafayette Street,Booneville,MS,38829,"",101,Lafayette Street,Booneville,Prentiss County,Mississippi,United States,38829,34.6536035,-88.5624378,false
 337 College Street,Verona,MS,38879,"",337,College Street,Tupelo,Lee County,Mississippi,United States,38801,34.1941167,-88.71597159999999,true
 111 Water Street,Baldwyn,MS,38824,"",111,West Water Street,Baldwyn,Lee County,Mississippi,United States,38824,34.5084021,-88.63410720000002,true
 783 Bridge Road,Northampton,MA,1061,"",783,Bridge Road,Northampton,Hampshire County,Massachusetts,United States,01060,42.33772310000001,-72.643807,true
 111 Main,Unionville,CT,6085,"",111,Main Street,Farmington,Hartford County,Connecticut,United States,06085,41.75998329999999,-72.889877,true
 113 Park Street,Menno,SD,57045,"",113,Park Street,Menno,Hutchinson County,South Dakota,United States,57045,43.2368424,-97.58279019999999,false
 1912 West State Street,Bristol,TN,37620,"",1912,West State Street,Bristol,Sullivan County,Tennessee,United States,37620,36.5951673,-82.2035429,false
 823 Ocoee Street,Copperhill,TN,37317,"",823,Ocoee Street,Copperhill,Polk County,Tennessee,United States,37317,35.0081171,-84.3842841,false
 7871 Blue Ridge Drive,Blue Ridge,GA,30513,"",7871,Blue Ridge Drive,Blue Ridge,Fannin County,Georgia,United States,30513,34.8932405,-84.35184579999999,true
 13455 Highway 43,Russellville,AL,35653,"","",Highway 43,Russellville,Franklin County,Alabama,United States,35653,34.5267285,-87.7160444,true
 932 S. Hwy 65,Mora,MN,55051,"",932,Minnesota 65,Mora,Kanabec County,Minnesota,United States,55051,45.864716,-93.2966865,true
 605 E. Webb Avenue,Burlington,NC,27217,"",605,East Webb Avenue,Burlington,Alamance County,North Carolina,United States,27217,36.0891114,-79.4311999,false
 253 Pine Street,Lewiston,ME,4240,"",253,Pine Street,Lewiston,Androscoggin County,Maine,United States,04240,44.09885999999999,-70.20400099999999,true
 125 West Main Street,Albertville,AL,35950,"",125,West Main Street,Albertville,Marshall County,Alabama,United States,35950,34.2685795,-86.2094343,false
 5011 Hwy 431 S,Albertville,AL,35950,"",5011,U.S. 431,Albertville,Marshall County,Alabama,United States,35950,34.2521805,-86.18123039999999,true
 500 South Salem Sreet,Apex,NC,27502,"",500,South Salem Street,Apex,Wake County,North Carolina,United States,27502,35.7251805,-78.8560842,true
 395 Cedar Hill Avenue SE,Dawson,GA,39842,"",395,Cedar Hill Avenue Southeast,Dawson,Terrell County,Georgia,United States,39842,31.7680574,-84.44350279999999,false
 687 Andrew Street,Cuthbert,GA,39840,"",687,Andrew Street,Cuthbert,Randolph County,Georgia,United States,39840,31.7665555,-84.7955183,false
 500 E. Blount St,Kinston,NC,28501,"",500,East Blount Street,Kinston,Lenoir County,North Carolina,United States,28501,35.2637702,-77.573751,false
 1020 Tift Avenue,Tifton,GA,31794,"",1020,Tift Avenue,Tifton,Tift County,Georgia,United States,31794,31.4626545,-83.5039817,true
 214 Oak Street,Bonner Springs,KS,66012,"",214,Oak Street,Bonner Springs,Wyandotte County,Kansas,United States,66012,39.056194,-94.88356399999999,false
 201 Meadow,Naugatuck,CT,6770,"",201,Meadow Street,Naugatuck,New Haven County,Connecticut,United States,06770,41.4927478,-73.055764,true
 615 S. Main,Cheshire,CT,6410,"",615,South Main Street,Cheshire,New Haven County,Connecticut,United States,06410,41.4868802,-72.9057354,true
 25 North Main St,Wallingford,VT,5773,"",25,North Main Street,Wallingford,Rutland County,Vermont,United States,05773,43.4720202,-72.97719719999999,true
 44 N Main St,Rutland,VT,5701,"",44,North Main Street,Rutland,Rutland County,Vermont,United States,05701,43.611311,-72.97245199999999,true
 612 Rees Park,Americus,GA,31709,"",612,Reese Park,Americus,Sumter County,Georgia,United States,31709,32.0668027,-84.2243507,true
 209 E. Locust Street,Lafayette,TN,37083,"",209,East Locust Street,Lafayette,Macon County,Tennessee,United States,37083,36.5222985,-86.02379119999999,false
 584 Nashville Pike,Gallatin,TN,37066,"",584,Nashville Pike,Gallatin,Sumner County,Tennessee,United States,37066,36.3839358,-86.45985759999999,false
 509 W. Spring Street,Irvington,KY,40146,"",509,Spring Street,Irvington,Breckinridge County,Kentucky,United States,40146,37.876227,-86.28870529999999,true
 1424 Statesville Avenue,Charlotte,NC,28206,"",1424,Statesville Avenue,Charlotte,Mecklenburg County,North Carolina,United States,28206,35.24288200000001,-80.836243,false
 214 E. Main Street,Ringling,OK,73456,"",214,East Main Street,Ringling,Carter County,Oklahoma,United States,73456,34.162177,-97.42446029999999,false
 1302 Seventh Street,Wilson,OK,73463,"",1302,7th Street,Wilson,Carter County,Oklahoma,United States,73463,34.162785,-97.425676,false
 304 East Lexington St.,Harrodsburg,KY,40330,"",304,East Lexington Street,Harrodsburg,Mercer County,Kentucky,United States,40330,37.7617451,-84.8387202,false
 45 Common Street,Walpole,MA,2081,"",45,Common Street,Walpole,Norfolk County,Massachusetts,United States,02081,42.1430127,-71.2532229,true
 2721 Hwy 129 S,Cleveland,GA,30528,"",2721,U.S. 129,Cleveland,White County,Georgia,United States,30528,34.5589587,-83.7612372,true
 325 Washington Avenue,Alexandria,KY,41001,"",325,Washington Street,Alexandria,Campbell County,Kentucky,United States,41001,38.9634718,-84.3917616,true
 116 Cleghorn Street,Villa Rica,GA,30180,"",116,Cleghorn Street,Villa Rica,Carroll County,Georgia,United States,30180,33.73112700000001,-84.91213499999999,false
 Ireland Wildcat Road,Ireland,WV,26376,"","",Ireland to Wildcat Road,Ireland,Lewis County,West Virginia,United States,26376,38.8174544,-80.4611595,true
 2929 S. Locust St,Grand Island,NE,68801,"",2929,South Locust Street,Grand Island,Hall County,Nebraska,United States,68801,40.8929254,-98.3389529,false
 1300 Dixwell Avenue,Hamden,CT,6514,"",1300,Dixwell Avenue,Hamden,New Haven County,Connecticut,United States,06514,41.3487266,-72.933159,true
 3200 Wadsworth Blvd,Wheat Ridge,CO,80033,"",3200,North Wadsworth Boulevard,Wheat Ridge,Jefferson County,Colorado,United States,80033,39.76235459999999,-105.0808041,false
 12002 Melody Drive,Westminster,CO,80021,"",12002,Melody Drive,Westminster,Adams County,Colorado,United States,80234,39.9148928,-104.9939885,true
 3200 Wadsworth Blvd,Wheat Ridge,CO,80033,"",3200,North Wadsworth Boulevard,Wheat Ridge,Jefferson County,Colorado,United States,80033,39.76235459999999,-105.0808041,false
 4725 S. Broadway,Englewood,CO,80110,"",4725,Broadway,Englewood,Arapahoe County,Colorado,United States,80113,39.6535283,-104.9877081,true
 110 W. Hansell,Thomasville,GA,31799,"",110,West Hansell Street,Thomasville,Thomas County,Georgia,United States,31792,30.8306718,-83.9750464,true
 508 Summit Avenue,Greensboro,NC,27405,"",508,Summit Avenue,Greensboro,Guilford County,North Carolina,United States,27405,36.079015,-79.78246999999999,false
 2837 Main Street,Hurricane,WV,25526,"",2837,Main Street,Hurricane,Putnam County,West Virginia,United States,25526,38.4320439,-82.02260079999999,false
 9136 Davison Road,Davison,MI,48423,"",9136,Davison Road,Davison,Genesee County,Michigan,United States,48423,43.0340362,-83.53253699999999,false
 313 N. Prairie Street N,Union Springs,AL,36089,"",313,North Prairie Street,Union Springs,Bullock County,Alabama,United States,36089,32.1469991,-85.7157934,true
 203 East Temperance Street,Bloomington,IN,47401,"",203,East Temperance Street,Ellettsville,Monroe County,Indiana,United States,47429,39.2309344,-86.6202145,true
 1021 Madison Avenue,Covington,KY,41011,"",1021,Madison Avenue,Covington,Kenton County,Kentucky,United States,41011,39.0798152,-84.50944779999999,false
 2100 N Lincoln Ave,Loveland,CO,80538,"",2100,North Lincoln Avenue,Loveland,Larimer County,Colorado,United States,80538,40.4140325,-105.0725299,false
 702 13th Street,Greeley,CO,80631,"",702,13th Street,Greeley,Weld County,Colorado,United States,80631,40.4181398,-104.6894311,false
 1302 Graves Ave,Estes Park,CO,80517,"",1302,Graves Avenue,Estes Park,Larimer County,Colorado,United States,80517,40.3688834,-105.5009854,false
 400 S. 10th Street,Escanaba,MI,49829,"",400,South 10th Street,Escanaba,Delta County,Michigan,United States,49829,45.7419804,-87.0614701,false
 203 E. Elm,Monroe,MI,48162,"",203,East Elm Avenue,Monroe,Monroe County,Michigan,United States,48162,41.9173846,-83.39343009999999,true
 23620 N. Huron River,Rockwood,MI,48173,"",23620,Huron River Drive,Rockwood,Wayne County,Michigan,United States,48173,42.075357,-83.26073749999999,true
 660-670 Allwood Road,Clifton,NJ,7012,"",670,Allwood Road,Clifton,Passaic County,New Jersey,United States,07012,40.84637379999999,-74.1641448,true
 1110 11th Street,Westbrook,MN,56183,"",1110,11th Street,Westbrook,Cottonwood County,Minnesota,United States,56183,44.0471921,-95.43743529999999,false
 444 Craig Avenue,Tracy,MN,56175,"",444,Craig Avenue,Tracy,Lyon County,Minnesota,United States,56175,44.23983,-95.61802399999999,false
 140 2nd St.,Balaton,MN,56115,"",140,2nd Street,Balaton,Lyon County,Minnesota,United States,56115,44.2344101,-95.8733488,false
 548 Newnan Street,Carrollton,GA,30117,"",548,Newnan Street,Carrollton,Carroll County,Georgia,United States,30117,33.5806617,-85.068553,false
 180 Harrison,Garfield,NJ,7026,"",180,Harrison Avenue,Garfield,Bergen County,New Jersey,United States,07026,40.87233519999999,-74.0990352,true
 480 Elm Street,Biddeford,ME,4005,"",480,Elm Street,Biddeford,York County,Maine,United States,04005,43.4776449,-70.4780048,true
 1852 E. College Way,Mount Vernon,WA,98273,"",1800-1868,East College Way,Mount Vernon,Skagit County,Washington,United States,98273,48.4356586,-122.3180038,false
 2260 Old Milton Parkway,Alpharetta,GA,30009,"",2260,Old Milton Parkway,Alpharetta,Fulton County,Georgia,United States,30004,34.0710471,-84.29196519999999,false
 404 10th Avenue S,Nampa,ID,83651,"",404,10th Avenue South,Nampa,Canyon County,Idaho,United States,83651,43.577537,-116.564739,false
 904 South Main Street,Louisburg,NC,27549,"",904,South Main Street,Louisburg,Franklin County,North Carolina,United States,27549,36.091572,-78.30597399999999,false
 118 Grant Avenue,Moundsville,WV,26041,"",118,Grant Avenue,Moundsville,Marshall County,West Virginia,United States,26041,39.9243098,-80.7396607,false
 3828 Jacob Street,Wheeling,WV,26003,"",3828,Jacob Street,Wheeling,Ohio County,West Virginia,United States,26003,40.043148,-80.72498,false
 1400 Eoff Street,Wheeling,WV,26003,"",1400,Eoff Street,Wheeling,Ohio County,West Virginia,United States,26003,40.065615,-80.71964000000001,false
 12893 Jefferson Ave.,Newport News,VA,23608,"",12893,Jefferson Avenue,Newport News,"",Virginia,United States,23608,37.147297,-76.52779699999999,false
 1801 Baltic Ave,Virginia Beach, VA,23451,"",1801,Baltic Avenue,Virginia Beach,"",Virginia,United States,23451,36.845813,-75.979305,false
 7415 River Road,Newport News,VA,23607,"",7415,River Road,Newport News,"",Virginia,United States,23607,37.012653,-76.45203099999999,false
 5792 Greenwich Road,Virginia Beach,VA,23462,"",5792,Greenwich Road,Virginia Beach,"",Virginia,United States,23462,36.8443027,-76.18296790000001,false
 304 W. Elm Street,Rockmart,GA,30153,"",304,West Elm Street,Rockmart,Polk County,Georgia,United States,30153,34.0001666,-85.0540527,false
 1200 Garfield,Bay City,MI,48708,"",1200,Garfield Avenue,Bay City,Bay County,Michigan,United States,48708,43.5792398,-83.8909827,true
 320 6th St,Springfield,OR,97477,"",320,6th Street,Springfield,Lane County,Oregon,United States,97477,44.0482232,-123.0185427,false
 3803 132nd Place Northeast,Marysville,WA,98271,"",3803,132nd Place Northeast,Marysville,Snohomish County,Washington,United States,98271,48.11546149999999,-122.1795025,false
" 1201 Pacific Avenue,Suite 600",Tacoma, WA,98402,600,1201,Pacific Avenue,Tacoma,Pierce County,Washington,United States,98402,47.25211729999999,-122.4374518,true
 6100 219th SW Suite 460,Mountlake Terrace,WA,98043,460,6100,219th Street Southwest,Mountlake Terrace,Snohomish County,Washington,United States,98043,47.8002899,-122.316801,true
 718 Lebo Blvd,Bremerton,WA,98310,"",718,Lebo Boulevard,Bremerton,Kitsap County,Washington,United States,98310,47.581671,-122.6287101,false
" 10655 NE 4Th St, Suite 400",Bellevue,WA,98004,400,10655,Northeast 4th Street,Bellevue,King County,Washington,United States,98004,47.6133213,-122.1978448,true
 3125 Colby Ave,Everett,WA,98201,"",3125,Colby Avenue,Everett,Snohomish County,Washington,United States,98201,47.9754985,-122.2081539,false
 924 Capitol Way South,Olympia,WA,98501,"",924,Capitol Way South,Olympia,Thurston County,Washington,United States,98501,47.040098,-122.900613,false
 100 Blaine Avenue NE,Renton,WA,98056,"",100,Blaine Avenue Northeast,Renton,King County,Washington,United States,98056,47.4836083,-122.189813,true
 7401 South Pine Street,Tacoma,WA,98409,"",7401,South Pine Street,Tacoma,Pierce County,Washington,United States,98409,47.1898785,-122.4734793,false
 8914 Quarry Rd.,Manassas,VA,20110,"",8914,Quarry Road,Manassas,"",Virginia,United States,20110,38.7527728,-77.4675153,false
 125 8th St SW,Bandon,OR,97411,"",125,8th Street Southwest,Bandon,Coos County,Oregon,United States,97411,43.1162924,-124.4158601,false
 94105 Rink Creek Lane,Coquille,OR,97423,"",94105,Rink Creek Lane,Coquille,Coos County,Oregon,United States,97423,43.1637154,-124.1552025,false
 404 7th St,Myrtle Point,OR,97458,"",404,7th Street,Myrtle Point,Coos County,Oregon,United States,97458,43.0639889,-124.1402682,false
 2975 S. 42nd Street,Grand Forks,ND,58208,"",2975,South 42nd Street,Grand Forks,Grand Forks County,North Dakota,United States,58201,47.8918265,-97.0872973,true
 467 State Street,Perth Amboy,NJ,8861,"",467,State Street,Perth Amboy,Middlesex County,New Jersey,United States,08861,40.5147988,-74.2649347,true
 21 Kinsley Street,Nashua,NH,3060,"",21,Kinsley Street,Nashua,Hillsborough County,New Hampshire,United States,03060,42.7556777,-71.4659497,true
 303 S. Broadway Street,Riley,KS,66531,"",303,South Broadway Street,Riley,Riley County,Kansas,United States,66531,39.2967433,-96.8255971,false
 1428 Patton Avenue,Asheville,NC,28806,"",1428,Patton Avenue,Asheville,Buncombe County,North Carolina,United States,28806,35.579934,-82.6078129,false
 4 Common Street,Stoneham,MA,2180,"",4,Common Street,Stoneham,Middlesex County,Massachusetts,United States,02180,42.4812781,-71.0994796,true
 3002 N. Van Buren,Enid,OK,73701,"",3002,North Van Buren Street,Enid,Garfield County,Oklahoma,United States,73701,36.4270107,-97.8900965,true
 703 Main,Toms River,NJ,8753,"",703,Main Street,Toms River,Ocean County,New Jersey,United States,08753,39.9598221,-74.1993255,true
 2030 First Avenue,Hibbing,MN,55746,"",2030,1st Avenue,Hibbing,St. Louis County,Minnesota,United States,55746,47.4262283,-92.9417186,false
 S 218 US Highway 41,Stephenson,MI,49887,"","",U.S. 41,Stephenson,Menominee County,Michigan,United States,49887,45.3987677,-87.6101928,true
 250 Main Street,Townsend,MA,1469,"",250,Main Street,Townsend,Middlesex County,Massachusetts,United States,01469,42.6662275,-71.7050792,true
 25 Fitchburg Road (Rte. 2A,Ayer,MA,1432
 174 Layne Street,New Haven,WV,25265,"",174,Layne Street,Letart,Mason County,West Virginia,United States,25253,38.986732,-81.965936,false
 1109 2nd St,Moundsville,WV,26041,"",1109,2nd Street,Moundsville,Marshall County,West Virginia,United States,26041,39.923561,-80.74070449999999,false
 352 W. Natchez Road,Gloster,MS,39638,"","",West Natchez Road,Gloster,Amite County,Mississippi,United States,39638,31.2017384,-91.02208979999999,true
 3050 W. Beecher,Adrian,MI,49221,"",3050,West Beecher Road,Adrian,Lenawee County,Michigan,United States,49221,41.8890901,-84.0838388,true
 1448 Short St,Tecumseh,MI,49286,"",1448,Short Street,Tecumseh,Lenawee County,Michigan,United States,49286,42.0083142,-83.9691958,false
 629 N. Third Street,Montevideo,MN,56265,"",629,North 3rd Street,Montevideo,Chippewa County,Minnesota,United States,56265,44.9509664,-95.7228695,false
 215 West Main Avenue,Twin Valley,MN,56584,"",215,Main Avenue West,Twin Valley,Norman County,Minnesota,United States,56584,47.2603884,-96.2619285,true
 505 Thunderbird Road,Tonkawa,OK,74653,"",505,Thunderbird Road,Tonkawa,Kay County,Oklahoma,United States,74653,36.69415499999999,-97.318563,false
 2nd Street & Main Steret,Canton,SD,57013,"","",2nd Street,Coralville,Johnson County,Iowa,United States,52241,41.6823902,-91.5971285,false
 302 W. Main,Alexandria,TN,37012,"",302,West Main Street,Alexandria,DeKalb County,Tennessee,United States,37012,36.078738,-86.037874,true
 202 East Main Street,Gallatin,TN,37066,"",202,East Main Street,Gallatin,Sumner County,Tennessee,United States,37066,36.3890797,-86.4442366,false
 39 Maple,Cameron,WV,26033,"",39,Maple Avenue,Cameron,Marshall County,West Virginia,United States,26033,39.8233626,-80.5618732,true
 659 Voyager Drive NW,Alexandria,MN,56308,"",659,Voyager Drive,Alexandria,Douglas County,Minnesota,United States,56308,45.9100063,-95.3908368,true
 903 Wisconsin,Gladstone,MI,49837,"",903,Wisconsin Avenue,Gladstone,Delta County,Michigan,United States,49837,45.8453171,-87.0200091,true
 2200 Ludington,Escanaba,MI,49829,"",2200,Ludington Street,Escanaba,Delta County,Michigan,United States,49829,45.7460645,-87.07861770000001,true
 300 North Willow Street,Trenton,NJ,8618,"",300,North Willow Street,Trenton,Mercer County,New Jersey,United States,08618,40.226752,-74.766727,true
 201 Sandford Street,New Brunswick,NJ,8901,"",201,Sandford Street,New Brunswick,Middlesex County,New Jersey,United States,08901,40.4842521,-74.4502767,true
 110 West Willow Street,Harrisburg,SD,57032,"",110,East Willow Street,Harrisburg,Lincoln County,South Dakota,United States,57032,43.431998,-96.703867,true
 533 Tenth Avenue,Menominee,MI,49858,"",533,10th Avenue,Menominee,Menominee County,Michigan,United States,49858,45.1076511,-87.6090655,false
 114 South 3rd Street,Harlan,KY,40831,"",114,South 3rd Street,Harlan,Harlan County,Kentucky,United States,40831,36.8464648,-83.320049,false
