orig_address,orig_city,orig_state,orig_country,subpremise,street_number,route,locality,administrative_area_level_2,administrative_area_level_1,country,postal_code,lat,lng,partial_match
 424 East Avenue,Perth Amboy,NJ,8861,"",424,East Avenue,Perth Amboy,Middlesex County,New Jersey,United States,08861,40.5140738,-74.2701688,true
 319 Amboy Ave,Metuchen,NJ,8840,"",319,Amboy Avenue,Metuchen,Middlesex County,New Jersey,United States,08840,40.5377088,-74.3622315,true
 2275 2nd Street,Mason,WV,25260,"",2275,2nd Street,Mason,Mason County,West Virginia,United States,25260,39.0226368,-82.02757539999999,true
 221 2nd Avenue,Foley,MN,56329,"",221,2nd Avenue,Foley,Benton County,Minnesota,United States,56329,45.6638528,-93.9141102,false
 49 Court Street,Keene,NH,3431,"",49,Court Street,Keene,Cheshire County,New Hampshire,United States,03431,42.9356588,-72.27967269999999,true
 126 S. Main,Attleboro,MA,2703,"",126,South Main Street,Attleboro,Bristol County,Massachusetts,United States,02703,41.94017119999999,-71.28434589999999,true
 649 High Street,Westwood,MA,2090,"",649,High Street,Westwood,Norfolk County,Massachusetts,United States,02090,42.2263082,-71.2225047,true
 87 Milton St,Dedham,MA,2026,"",87,Milton Street,Dedham,Norfolk County,Massachusetts,United States,02026,42.2449815,-71.1522008,true
 85 Nichols Street,Norwood,MA,2062,"",85,Nichols Street,Norwood,Norfolk County,Massachusetts,United States,02062,42.1945961,-71.2066722,true
 832 N Lyons St.,Lake Charles,LA,70601,"",832,North Lyons Street,Lake Charles,Calcasieu Parish,Louisiana,United States,70601,30.2481733,-93.1997037,false
 815 N. Queen Street,Kinston,NC,28501,"",815,North Queen Street,Kinston,Lenoir County,North Carolina,United States,28501,35.269451,-77.58075869999999,false
 504 E. McPherson Hwy,Clyde,OH,43410,"",504,East McPherson Highway,Clyde,Sandusky County,Ohio,United States,43410,41.3080492,-82.96829989999999,false
 17173 Mount Vernon Road,Golden,CO,80401,"",17173,Mount Vernon Road,Golden,Jefferson County,Colorado,United States,80401,39.7286459,-105.1920346,false
 910 E. Lincoln Road,Maryville,TN,37804,"",910,East Lincoln Road,Maryville,Blount County,Tennessee,United States,37804,35.7787774,-83.95559109999999,false
 405 E. Main,Parsons,KS,67357,"",405,Main Street,Parsons,Labette County,Kansas,United States,67357,37.3407771,-95.2390547,true
 4601 Pleasant Garden Rd,Pleasant Garden,NC,27313,"",4601,Pleasant Garden Road,Pleasant Garden,Guilford County,North Carolina,United States,27313,35.970324,-79.764498,false
 1118 N. Elm Street,Greensboro,NC,27401,"",1118,North Elm Street,Greensboro,Guilford County,North Carolina,United States,27401,36.088749,-79.788613,false
 5926 W. Friendly Avenue,Greensboro,NC,27410,"",5926,West Friendly Avenue,Greensboro,Guilford County,North Carolina,United States,27410,36.089952,-79.8935686,false
 26560 Van Dyke Avenue,Center Line,MI,48015,"",26560,Van Dyke Avenue,Center Line,Macomb County,Michigan,United States,48015,42.4889075,-83.0271983,false
 215 E. Main Street,Bridgeport,WV,26330,"",215,East Main Street,Bridgeport,Harrison County,West Virginia,United States,26330,39.28568360000001,-80.2485943,false
 207 Second Street,Rivesville,WV,26588,"",207,2nd Street,Rivesville,Marion County,West Virginia,United States,26588,39.5555597,-80.1793658,true
 201 Columbia Street,Fairmont,WV,26554,"",201,Columbia Street,Fairmont,Marion County,West Virginia,United States,26554,39.4806623,-80.1354619,false
 1410 Country Club Road,Fairmont,WV,26554,"",1410,Country Club Road,Fairmont,Marion County,West Virginia,United States,26554,39.473236,-80.1754923,false
 907 N. Market Street,Opelousas,LA,70570,"",907,North Market Street,Opelousas,St. Landry Parish,Louisiana,United States,70570,30.5421232,-92.08290559999999,false
 2047 Hwy 138 SE,Jonesboro,GA,30237,"",2047,Georgia 138,Jonesboro,Clayton County,Georgia,United States,30236,33.5378572,-84.32456359999999,true
 2405 Woodland,Coffeyville,KS,67337,"",2405,Woodland Avenue,Coffeyville,Montgomery County,Kansas,United States,67337,37.0503108,-95.6531809,true
 1516 MLK Expressway,Andalusia,AL,36420,"",1516,Martin Luther King Junior Expressway,Andalusia,Covington County,Alabama,United States,36420,31.3181982,-86.4550478,true
 2501 Pacific Ave. SE,Olympia,WA,98501,"",2501,Pacific Avenue Southeast,Olympia,Thurston County,Washington,United States,98501,47.0440978,-122.8671937,false
 313 W Railroad Ave,Shelton,WA,98584,"",313,West Railroad Avenue,Shelton,Mason County,Washington,United States,98584,47.2128159,-123.103093,false
 2308 Pacific Ave.,Forest Grove,OR,97116,"",2308,Pacific Avenue,Forest Grove,Washington County,Oregon,United States,97116,45.5194032,-123.106105,false
 1150 S. Dickerson Road,Goodlettsville,TN,37072,"",1150,Dickerson Road,Goodlettsville,Davidson County,Tennessee,United States,37072,36.2952169,-86.7267493,true
